System Clock,Logical Clock,Action,Messages Remaining
21:17:16,1,2,0
21:17:16,2,4,0
21:17:16,3,2,0
21:17:16,4,5,0
21:17:17,5,3,0
21:17:17,6,6,0
21:17:17,7,1,0
21:17:17,8,2,0
21:17:17,9,3,0
21:17:17,10,4,0
21:17:18,11,4,0
21:17:18,12,8,0
21:17:18,13,6,0
21:17:18,14,1,0
21:17:18,15,0,0
21:17:18,16,5,0
21:17:19,17,10,0
21:17:19,18,4,0
21:17:19,19,9,0
21:17:19,20,6,0
21:17:19,21,9,0
21:17:19,22,9,0
21:17:20,23,0,0
21:17:20,24,0,0
21:17:20,25,0,0
21:17:20,26,1,0
21:17:20,27,7,0
21:17:20,28,3,1
21:17:21,29,0,0
21:17:21,30,10,0
21:17:21,31,1,0
21:17:21,32,7,0
21:17:21,33,10,0
21:17:21,34,3,0
21:17:22,35,0,0
21:17:22,36,3,0
21:17:22,37,8,0
21:17:22,38,10,0
21:17:22,39,6,0
21:17:22,40,8,0
21:17:23,41,5,0
21:17:23,42,9,0
21:17:23,43,10,0
21:17:23,44,3,0
21:17:23,45,1,0
21:17:23,46,6,0
21:17:24,47,3,0
21:17:24,48,0,0
21:17:24,49,6,0
21:17:24,50,10,0
21:17:24,51,0,0
21:17:24,52,2,0
21:17:25,53,0,0
21:17:25,54,6,0
21:17:25,55,3,0
21:17:25,56,0,0
21:17:25,57,10,0
21:17:25,58,7,0
21:17:26,59,7,0
21:17:26,60,2,0
21:17:26,61,4,0
21:17:26,62,3,0
21:17:26,63,0,0
21:17:26,64,8,0
21:17:27,65,5,0
21:17:27,66,5,0
21:17:27,67,10,0
21:17:27,68,5,0
21:17:27,69,3,0
21:17:27,70,0,0
21:17:28,71,10,0
21:17:28,72,3,0
21:17:28,73,8,0
21:17:28,74,4,0
21:17:28,75,10,0
21:17:28,76,8,0
21:17:29,77,6,0
21:17:29,78,10,0
21:17:29,79,5,0
21:17:29,80,4,0
21:17:29,81,3,0
21:17:29,82,10,0
21:17:30,83,6,0
21:17:30,84,7,0
21:17:30,85,10,0
21:17:30,86,7,0
21:17:30,87,1,0
21:17:30,88,9,0
21:17:31,89,10,0
21:17:31,90,3,0
21:17:31,91,2,0
21:17:31,92,6,0
21:17:31,93,6,0
21:17:31,94,8,0
21:17:32,95,1,0
21:17:32,96,6,0
21:17:32,97,6,0
21:17:32,98,7,0
21:17:32,99,10,0
21:17:32,100,10,0
21:17:33,101,7,0
21:17:33,102,2,0
21:17:33,103,7,0
21:17:33,104,3,0
21:17:33,105,1,0
21:17:33,106,9,0
21:17:34,107,8,0
21:17:34,108,6,0
21:17:34,109,0,0
21:17:34,110,0,0
21:17:34,111,6,0
21:17:34,112,9,0
21:17:35,113,0,0
21:17:35,114,7,0
21:17:35,115,1,0
21:17:35,116,4,0
21:17:35,117,2,0
21:17:35,118,6,0
21:17:36,119,7,0
21:17:36,120,7,0
21:17:36,121,5,0
21:17:36,122,0,0
21:17:36,123,10,0
21:17:36,124,7,0
21:17:37,125,10,0
21:17:37,126,0,0
21:17:37,127,0,0
21:17:37,128,1,0
21:17:37,129,5,0
21:17:37,130,5,0
21:17:38,131,7,0
21:17:38,132,5,0
21:17:38,133,7,0
21:17:38,134,7,0
21:17:38,135,5,0
21:17:38,136,0,0
21:17:39,137,1,0
21:17:39,138,10,0
21:17:39,139,8,0
21:17:39,140,1,0
21:17:39,141,8,0
21:17:39,142,4,0
21:17:40,143,6,0
21:17:40,144,0,0
21:17:40,145,1,0
21:17:40,146,10,0
21:17:40,147,8,0
21:17:40,148,9,0
21:17:41,149,5,0
21:17:41,150,4,0
21:17:41,151,1,0
21:17:41,152,1,0
21:17:41,153,1,0
21:17:41,154,10,0
21:17:42,155,6,0
21:17:42,156,6,0
21:17:42,157,0,0
21:17:42,158,10,0
21:17:42,159,7,0
21:17:42,160,6,0
21:17:43,161,9,0
21:17:43,162,9,0
21:17:43,163,10,0
21:17:43,164,1,0
21:17:43,165,10,0
21:17:43,166,1,0
21:17:44,167,0,0
21:17:44,168,3,0
21:17:44,169,10,0
21:17:44,170,9,0
21:17:44,171,6,0
21:17:44,172,2,0
21:17:45,173,6,0
21:17:45,174,2,0
21:17:45,175,9,0
21:17:45,176,4,0
21:17:45,177,10,0
21:17:45,178,10,0
