System Clock,Logical Clock,Action,Messages Remaining
21:13:27,1,4,0
21:13:27,2,0,0
21:13:27,3,5,0
21:13:27,4,10,0
21:13:27,5,4,0
21:13:28,6,9,0
21:13:28,7,2,0
21:13:28,8,2,0
21:13:28,9,7,0
21:13:28,10,4,0
21:13:29,12,0,0
21:13:29,13,8,0
21:13:29,14,10,0
21:13:29,15,5,0
21:13:29,16,6,0
21:13:30,17,4,0
21:13:30,20,0,0
21:13:30,21,0,0
21:13:30,22,5,0
21:13:30,23,5,0
21:13:31,24,4,0
21:13:31,25,9,0
21:13:31,26,2,0
21:13:31,27,4,0
21:13:31,29,0,0
21:13:32,30,0,0
21:13:32,31,5,0
21:13:32,32,7,0
21:13:32,34,0,0
21:13:32,35,0,0
21:13:33,36,2,0
21:13:33,37,3,0
21:13:33,38,4,0
21:13:33,40,0,0
21:13:33,41,10,0
21:13:34,42,7,0
21:13:34,43,2,0
21:13:34,44,1,0
21:13:34,45,9,0
21:13:34,46,9,0
21:13:35,47,2,0
21:13:35,48,2,0
21:13:35,51,0,0
21:13:35,52,0,0
21:13:35,53,0,0
21:13:36,54,4,0
21:13:36,56,0,0
21:13:36,57,3,0
21:13:36,58,5,0
21:13:36,59,8,0
21:13:37,61,0,0
21:13:37,62,6,0
21:13:37,63,5,0
21:13:37,64,6,0
21:13:37,65,7,0
21:13:38,66,3,0
21:13:38,67,6,0
21:13:38,68,4,0
21:13:38,69,2,0
21:13:38,70,10,0
21:13:39,72,0,0
21:13:39,73,7,0
21:13:39,75,0,0
21:13:39,76,0,0
21:13:39,77,3,0
21:13:40,78,5,0
21:13:40,79,4,0
21:13:40,80,3,0
21:13:40,81,1,0
21:13:40,82,8,0
21:13:41,84,0,0
21:13:41,85,9,0
21:13:41,86,4,0
21:13:41,87,0,0
21:13:41,88,3,0
21:13:42,89,10,0
21:13:42,92,0,0
21:13:42,93,10,0
21:13:42,94,9,0
21:13:42,95,10,0
21:13:43,96,0,0
21:13:43,97,8,0
21:13:43,98,3,0
21:13:43,99,9,0
21:13:43,100,4,0
21:13:44,101,6,0
21:13:44,104,0,0
21:13:44,105,4,0
21:13:44,106,0,0
21:13:44,107,10,0
21:13:45,108,3,0
21:13:45,109,10,0
21:13:45,111,0,0
21:13:45,112,2,0
21:13:45,113,0,0
21:13:46,114,9,0
21:13:46,116,0,0
21:13:46,117,6,0
21:13:46,118,9,0
21:13:46,119,2,0
21:13:47,120,7,0
21:13:47,121,6,0
21:13:47,123,0,0
21:13:47,124,0,0
21:13:47,125,4,0
21:13:48,126,2,0
21:13:48,127,2,0
21:13:48,128,8,0
21:13:48,129,2,0
21:13:48,131,0,0
21:13:49,133,0,0
21:13:49,134,8,0
21:13:49,135,10,0
21:13:49,136,1,0
21:13:49,137,2,0
21:13:50,139,0,0
21:13:50,140,6,0
21:13:50,141,6,0
21:13:50,142,10,0
21:13:50,143,4,0
21:13:51,144,7,0
21:13:51,145,2,0
21:13:51,146,7,0
21:13:51,147,3,0
21:13:51,148,2,0
21:13:52,150,0,0
21:13:52,151,9,0
21:13:52,153,0,0
21:13:52,154,0,0
21:13:52,155,1,0
21:13:53,156,2,0
21:13:53,157,4,0
21:13:53,158,8,0
21:13:53,159,7,0
21:13:53,160,10,0
21:13:54,161,8,0
21:13:54,162,4,0
21:13:54,163,2,0
21:13:54,166,0,0
21:13:54,167,6,0
21:13:55,168,6,0
21:13:55,169,5,0
21:13:55,170,8,0
21:13:55,172,0,0
21:13:55,173,0,0
21:13:56,174,4,0
21:13:56,176,0,1
21:13:56,177,0,0
21:13:56,178,2,0
21:13:56,179,0,0
21:13:57,180,2,0
21:13:57,181,8,0
21:13:57,182,9,0
21:13:57,184,0,0
21:13:57,185,0,0
21:13:58,186,4,0
21:13:58,188,0,0
21:13:58,189,10,0
21:13:58,190,0,0
21:13:58,191,7,0
21:13:59,192,0,0
21:13:59,193,4,0
21:13:59,195,0,0
21:13:59,196,8,0
21:13:59,197,8,0
21:14:00,199,0,0
21:14:00,200,1,0
21:14:00,201,6,0
21:14:00,202,0,0
21:14:00,203,1,0
21:14:01,204,4,0
21:14:01,205,3,0
21:14:01,206,2,0
21:14:01,207,9,0
21:14:01,208,1,0
21:14:02,209,3,0
21:14:02,210,2,0
21:14:02,211,8,0
21:14:02,214,0,0
21:14:02,215,0,0
21:14:03,216,4,0
21:14:03,217,7,0
21:14:03,218,3,0
21:14:03,219,7,0
21:14:03,220,10,0
21:14:04,221,9,0
21:14:04,222,5,0
21:14:04,223,10,0
21:14:04,226,0,0
21:14:04,227,0,0
21:14:05,228,4,0
21:14:05,229,0,0
21:14:05,230,9,0
21:14:05,231,9,0
21:14:05,233,0,0
21:14:06,234,0,0
21:14:06,235,8,0
21:14:06,236,10,0
21:14:06,237,2,0
21:14:06,238,8,0
21:14:07,239,4,0
21:14:07,240,6,0
21:14:07,243,0,0
21:14:07,244,0,0
21:14:07,245,1,0
21:14:08,246,0,0
21:14:08,247,10,0
21:14:08,248,6,0
21:14:08,249,2,0
21:14:08,251,0,0
21:14:09,252,7,0
21:14:09,254,0,0
21:14:09,255,0,0
21:14:09,256,1,0
21:14:09,257,3,0
21:14:10,258,0,0
21:14:10,259,8,0
21:14:10,260,2,0
21:14:10,261,1,0
21:14:10,262,4,0
21:14:11,263,1,0
21:14:11,264,9,0
21:14:11,265,8,0
21:14:11,266,2,0
21:14:11,267,5,0
21:14:12,268,1,0
21:14:12,269,6,0
21:14:12,270,10,0
21:14:12,271,2,0
21:14:12,275,0,0
21:14:13,276,0,1
21:14:13,277,0,0
21:14:13,278,7,0
21:14:13,279,4,0
21:14:13,280,6,0
21:14:14,281,9,0
21:14:14,284,0,0
21:14:14,285,2,0
21:14:14,286,8,0
21:14:14,287,4,0
21:14:15,288,0,1
21:14:15,289,0,1
21:14:15,290,0,0
21:14:15,291,5,0
21:14:15,293,0,0
21:14:16,294,2,0
21:14:16,295,5,0
21:14:16,296,1,0
21:14:16,297,1,0
21:14:16,298,4,0
21:14:17,301,0,0
21:14:17,302,6,0
21:14:17,303,10,0
21:14:17,304,0,0
21:14:17,305,6,0
21:14:18,306,1,0
21:14:18,307,5,0
21:14:18,308,4,0
21:14:18,309,2,0
21:14:18,310,2,0
21:14:19,311,7,0
21:14:19,314,0,0
21:14:19,315,0,0
21:14:19,316,5,0
21:14:19,317,8,0
21:14:20,318,5,0
21:14:20,320,0,0
21:14:20,321,4,0
21:14:20,322,9,0
21:14:20,323,4,0
21:14:21,324,10,0
21:14:21,325,9,0
21:14:21,326,9,0
21:14:21,328,0,0
21:14:21,329,5,0
21:14:22,331,0,0
21:14:22,332,5,0
21:14:22,333,3,0
21:14:22,334,5,0
21:14:22,335,4,0
21:14:23,336,7,0
21:14:23,338,0,0
21:14:23,339,0,0
21:14:23,340,5,0
21:14:23,341,4,0
21:14:24,342,4,0
21:14:24,343,9,0
21:14:24,344,3,0
21:14:24,345,8,0
21:14:24,346,2,0
21:14:25,347,8,0
21:14:25,348,8,0
21:14:25,349,10,0
21:14:25,352,0,0
21:14:25,353,5,0
21:14:26,354,3,0
21:14:26,355,10,0
21:14:26,356,8,0
21:14:26,357,6,0
21:14:26,358,2,0
21:14:27,359,8,0
21:14:27,360,1,0
21:14:27,361,6,0
21:14:27,362,6,0
21:14:27,363,2,0
21:14:28,364,10,0
21:14:28,365,7,0
21:14:28,366,10,0
21:14:28,370,0,0
21:14:28,371,0,0
21:14:29,372,7,0
21:14:29,373,9,0
21:14:29,374,5,0
21:14:29,375,10,0
21:14:29,376,6,0
21:14:30,377,3,0
21:14:30,378,4,0
21:14:30,379,8,0
21:14:30,380,0,0
21:14:30,381,9,0
21:14:31,382,8,0
21:14:31,383,10,0
21:14:31,384,1,0
21:14:31,385,5,0
21:14:31,386,7,0
21:14:32,387,0,0
21:14:32,388,7,0
21:14:32,389,9,0
21:14:32,394,0,0
21:14:32,395,3,0
21:14:33,396,7,0
21:14:33,397,2,0
21:14:33,398,5,0
21:14:33,399,2,0
21:14:33,400,2,0
21:14:34,401,9,0
21:14:34,402,7,0
21:14:34,403,4,0
21:14:34,406,0,0
21:14:34,407,8,0
21:14:35,408,10,0
21:14:35,409,3,0
21:14:35,410,5,0
21:14:35,412,0,0
21:14:35,413,6,0
21:14:36,414,3,0
21:14:36,415,5,0
21:14:36,416,7,0
21:14:36,417,3,0
21:14:36,418,1,0
21:14:37,420,0,0
21:14:37,422,0,0
21:14:37,423,7,0
21:14:37,424,0,0
21:14:37,425,8,0
21:14:38,427,0,0
21:14:38,428,0,0
21:14:38,429,0,0
21:14:38,430,9,0
21:14:38,431,3,0
21:14:39,432,0,0
21:14:39,433,4,0
21:14:39,435,0,0
21:14:39,436,4,0
21:14:39,437,9,0
21:14:40,438,0,1
21:14:40,439,0,0
21:14:40,440,2,0
21:14:40,441,10,0
21:14:40,442,9,0
21:14:41,444,0,0
21:14:41,445,8,0
21:14:41,446,2,0
21:14:41,448,0,0
21:14:41,449,10,0
21:14:42,450,0,0
21:14:42,452,0,0
21:14:42,453,4,0
21:14:42,454,0,0
21:14:42,455,7,0
21:14:43,456,10,0
21:14:43,457,6,0
21:14:43,458,1,0
21:14:43,459,1,0
21:14:43,460,7,0
21:14:44,462,0,0
21:14:44,463,2,0
21:14:44,464,3,0
21:14:44,465,2,0
21:14:44,466,9,0
21:14:45,467,1,0
21:14:45,468,3,0
21:14:45,469,7,0
21:14:45,470,10,0
21:14:45,471,8,0
21:14:46,472,3,0
21:14:46,473,6,0
21:14:46,474,8,0
21:14:46,475,2,0
21:14:46,476,10,0
