System Clock,Logical Clock,Action,Messages Remaining
20:14:38,1,0,0
20:14:38,2,0,0
20:14:38,3,3,0
20:14:39,4,0,0
20:14:39,6,0,0
20:14:39,7,1,0
20:14:39,8,0,0
20:14:40,9,0,0
20:14:40,11,0,0
20:14:40,12,2,0
20:14:40,13,0,0
20:14:41,14,3,0
20:14:41,15,3,0
20:14:41,16,3,0
20:14:41,17,2,0
20:14:42,18,1,0
20:14:42,19,3,0
20:14:42,20,1,0
20:14:42,21,1,0
20:14:43,22,0,0
20:14:43,23,4,0
20:14:43,24,0,0
20:14:43,25,4,0
20:14:44,26,4,0
20:14:44,27,1,0
20:14:44,28,2,0
20:14:44,29,1,0
20:14:45,30,4,0
20:14:45,33,0,1
20:14:45,35,0,1
20:14:45,37,0,1
20:14:46,38,0,1
20:14:46,39,0,1
20:14:46,41,0,0
20:14:46,43,0,0
20:14:47,44,0,0
20:14:47,45,3,0
20:14:47,46,0,0
20:14:47,47,1,0
20:14:48,48,4,0
20:14:48,50,0,1
20:14:48,51,0,1
20:14:48,52,0,0
20:14:49,54,0,0
20:14:49,55,0,1
20:14:49,56,0,0
20:14:49,57,0,0
20:14:50,59,0,0
20:14:50,60,2,0
20:14:50,62,0,0
20:14:50,63,0,0
20:14:51,64,0,0
20:14:51,65,0,0
20:14:51,67,0,0
20:14:51,68,3,0
20:14:52,69,3,0
20:14:52,70,2,0
20:14:52,72,0,0
20:14:52,73,0,0
20:14:53,74,0,0
20:14:53,75,0,0
20:14:53,76,3,0
20:14:53,77,2,0
20:14:54,78,2,0
20:14:54,80,0,0
20:14:54,81,1,0
20:14:54,82,2,0
20:14:55,83,4,0
20:14:55,86,0,0
20:14:55,87,0,0
20:14:55,88,0,0
20:14:56,89,0,0
20:14:56,90,3,0
20:14:56,91,2,0
20:14:56,92,4,0
20:14:57,94,0,0
20:14:57,95,0,0
20:14:57,96,2,0
20:14:57,97,1,0
20:14:58,98,3,0
20:14:58,100,0,0
20:14:58,102,0,0
20:14:58,103,0,0
20:14:59,104,1,0
20:14:59,105,0,0
20:14:59,107,0,0
20:14:59,108,0,0
20:15:00,109,2,0
20:15:00,110,0,1
20:15:00,111,0,1
20:15:00,112,0,1
20:15:01,113,0,1
20:15:01,114,0,1
20:15:01,115,0,0
20:15:01,118,0,0
20:15:02,119,0,0
20:15:02,121,0,0
20:15:02,122,2,0
20:15:02,123,0,1
20:15:03,124,0,0
20:15:03,126,0,0
20:15:03,127,0,0
20:15:03,128,1,0
20:15:04,129,4,0
20:15:04,130,0,0
20:15:04,132,0,0
20:15:04,133,0,0
20:15:05,134,0,0
20:15:05,135,0,0
20:15:05,137,0,0
20:15:05,138,0,0
20:15:06,139,0,1
20:15:06,140,0,0
20:15:06,142,0,0
20:15:06,143,0,0
20:15:07,144,2,0
20:15:07,145,4,0
20:15:07,147,0,0
20:15:07,148,3,0
20:15:08,149,4,0
20:15:08,150,2,0
20:15:08,152,0,0
20:15:08,153,0,0
20:15:09,154,0,0
20:15:09,155,3,0
20:15:09,156,3,0
20:15:09,157,1,0
20:15:10,158,1,0
20:15:10,159,0,1
20:15:10,160,0,1
20:15:10,161,0,1
20:15:11,162,0,0
20:15:11,163,0,2
20:15:11,165,0,2
20:15:11,166,0,2
20:15:12,167,0,2
20:15:12,168,0,2
20:15:12,169,0,1
20:15:12,170,0,0
20:15:13,171,3,0
20:15:13,172,3,0
20:15:13,173,1,0
20:15:13,174,3,0
20:15:14,175,1,0
20:15:14,176,2,0
20:15:14,177,3,0
20:15:14,178,1,0
20:15:15,179,2,0
20:15:15,183,0,0
20:15:15,187,0,0
20:15:15,188,0,0
20:15:16,189,0,0
20:15:16,190,0,1
20:15:16,191,0,0
20:15:16,193,0,0
20:15:17,194,0,0
20:15:17,196,0,0
20:15:17,197,0,0
20:15:17,198,4,0
20:15:18,199,2,0
20:15:18,200,0,1
20:15:18,201,0,1
20:15:18,202,0,1
20:15:19,203,0,1
20:15:19,204,0,1
20:15:19,206,0,1
20:15:19,207,0,0
20:15:20,208,1,0
20:15:20,209,0,0
20:15:20,210,1,0
20:15:20,211,0,0
20:15:21,212,0,0
20:15:21,215,0,1
20:15:21,216,0,2
20:15:21,217,0,2
20:15:22,218,0,2
20:15:22,219,0,2
20:15:22,220,0,1
20:15:22,221,0,0
20:15:23,222,3,0
20:15:23,223,0,0
20:15:23,224,2,0
20:15:23,225,0,0
20:15:24,229,0,0
20:15:24,230,0,0
20:15:24,231,2,0
20:15:24,232,0,0
20:15:25,233,2,0
20:15:25,236,0,0
20:15:25,237,0,0
20:15:25,238,2,0
20:15:26,239,0,0
20:15:26,240,0,0
20:15:26,241,2,0
20:15:26,243,0,0
20:15:27,244,3,0
20:15:27,245,0,0
20:15:27,246,1,0
20:15:27,247,4,0
20:15:28,248,0,0
20:15:28,250,0,1
20:15:28,251,0,0
20:15:28,252,0,0
20:15:29,253,0,0
20:15:29,254,0,1
20:15:29,255,0,0
20:15:29,256,0,0
20:15:30,259,0,0
20:15:30,260,0,0
20:15:30,261,2,0
20:15:30,262,1,0
20:15:31,263,2,0
20:15:31,265,0,0
20:15:31,267,0,0
20:15:31,268,0,0
20:15:32,269,1,0
20:15:32,270,0,0
20:15:32,272,0,0
20:15:32,273,0,0
20:15:33,274,0,0
20:15:33,275,4,0
20:15:33,276,4,0
20:15:33,277,4,0
20:15:34,279,0,0
20:15:34,280,0,1
20:15:34,281,0,0
20:15:34,282,4,0
20:15:35,284,0,0
20:15:35,286,0,0
20:15:35,287,0,0
20:15:35,288,0,0
20:15:36,289,0,0
20:15:36,291,0,0
20:15:36,292,3,0
20:15:36,293,2,0
20:15:37,294,0,0
20:15:37,295,0,0
20:15:37,297,0,0
20:15:37,298,0,0
20:15:38,299,0,0
20:15:38,301,0,0
20:15:38,302,4,0
20:15:38,303,0,0
20:15:39,304,0,0
20:15:39,306,0,0
20:15:39,307,0,0
20:15:39,308,0,0
20:15:40,309,0,0
20:15:40,310,0,0
20:15:40,311,2,0
20:15:40,313,0,0
20:15:41,314,0,0
20:15:41,315,0,1
20:15:41,316,0,0
20:15:41,318,0,0
20:15:42,319,1,0
20:15:42,320,3,0
20:15:42,321,3,0
20:15:42,322,2,0
20:15:43,323,2,0
20:15:43,326,0,0
20:15:43,327,2,0
20:15:43,328,0,0
20:15:44,329,3,0
20:15:44,330,0,1
20:15:44,331,0,0
20:15:44,333,0,0
20:15:45,334,0,1
20:15:45,335,0,1
20:15:45,336,0,1
20:15:45,337,0,0
20:15:46,338,0,0
20:15:46,339,0,1
20:15:46,341,0,1
20:15:46,342,0,1
20:15:47,343,0,1
20:15:47,344,0,1
20:15:47,345,0,0
20:15:47,348,0,0
20:15:48,349,0,0
20:15:48,350,2,0
20:15:48,352,0,0
20:15:48,353,0,0
20:15:49,354,0,0
20:15:49,355,0,0
20:15:49,357,0,0
20:15:49,358,3,0
20:15:50,359,1,0
20:15:50,360,0,0
20:15:50,361,2,0
20:15:50,362,3,0
20:15:51,363,3,0
20:15:51,365,0,0
20:15:51,367,0,0
20:15:51,368,0,0
20:15:52,369,3,0
20:15:52,370,0,0
20:15:52,371,1,0
20:15:52,372,4,0
20:15:53,373,4,0
20:15:53,374,4,0
20:15:53,375,1,0
20:15:53,376,0,0
20:15:54,377,0,0
20:15:54,380,0,1
20:15:54,381,0,1
20:15:54,382,0,0
20:15:55,384,0,0
20:15:55,385,0,0
20:15:55,386,1,0
20:15:55,387,4,0
20:15:56,388,2,0
20:15:56,389,1,0
20:15:56,390,1,0
20:15:56,391,4,0
20:15:57,392,0,0
20:15:57,396,0,0
