System Clock,Logical Clock,Action,Messages Remaining
20:14:38,1,3,0
20:14:38,2,1,0
20:14:38,3,0,0
20:14:38,4,0,0
20:14:39,5,4,0
20:14:39,6,3,0
20:14:39,7,4,0
20:14:39,8,0,0
20:14:39,9,2,0
20:14:40,10,4,0
20:14:40,11,3,0
20:14:40,12,2,0
20:14:40,13,1,0
20:14:40,14,2,0
20:14:41,15,4,0
20:14:41,16,0,0
20:14:41,17,0,0
20:14:41,18,0,0
20:14:41,19,4,0
20:14:42,20,2,0
20:14:42,21,0,0
20:14:42,22,0,0
20:14:42,23,0,0
20:14:42,24,0,1
20:14:43,25,0,0
20:14:43,26,0,0
20:14:43,27,0,0
20:14:43,28,4,0
20:14:43,29,0,0
20:14:44,30,2,0
20:14:44,31,0,0
20:14:44,32,0,0
20:14:44,33,0,0
20:14:44,34,0,0
20:14:45,35,3,0
20:14:45,36,0,0
20:14:45,37,3,0
20:14:45,38,3,0
20:14:45,39,3,0
20:14:46,40,4,0
20:14:46,41,3,0
20:14:46,42,2,0
20:14:46,43,1,0
20:14:46,44,0,0
20:14:47,45,4,0
20:14:47,46,0,0
20:14:47,47,0,0
20:14:47,48,2,0
20:14:47,49,0,0
20:14:48,50,1,0
20:14:48,51,3,0
20:14:48,52,1,0
20:14:48,53,0,0
20:14:48,54,3,0
20:14:49,55,1,0
20:14:49,56,3,0
20:14:49,57,4,0
20:14:49,58,2,0
20:14:49,59,1,0
20:14:50,60,2,0
20:14:50,61,0,0
20:14:50,62,3,0
20:14:50,63,1,0
20:14:50,64,3,0
20:14:51,65,3,0
20:14:51,66,2,0
20:14:51,67,3,0
20:14:51,68,4,0
20:14:51,69,0,0
20:14:52,70,4,0
20:14:52,71,0,0
20:14:52,72,3,0
20:14:52,73,1,0
20:14:52,74,3,0
20:14:53,75,1,0
20:14:53,76,4,0
20:14:53,77,0,0
20:14:53,78,0,1
20:14:53,79,0,0
20:14:54,80,1,0
20:14:54,81,4,0
20:14:54,82,2,0
20:14:54,83,0,0
20:14:54,84,2,0
20:14:55,85,4,0
20:14:55,86,1,0
20:14:55,87,3,0
20:14:55,88,3,0
20:14:55,89,3,0
20:14:56,90,2,0
20:14:56,91,2,0
20:14:56,92,0,0
20:14:56,93,2,0
20:14:56,94,3,0
20:14:57,95,3,0
20:14:57,96,4,0
20:14:57,97,2,0
20:14:57,98,2,0
20:14:57,99,0,0
20:14:58,100,1,0
20:14:58,101,0,0
20:14:58,102,1,0
20:14:58,103,3,0
20:14:58,104,2,0
20:14:59,105,1,0
20:14:59,106,0,0
20:14:59,107,3,0
20:14:59,108,3,0
20:14:59,109,4,0
20:15:00,110,3,0
20:15:00,111,0,0
20:15:00,112,1,0
20:15:00,113,1,0
20:15:00,114,1,0
20:15:01,115,3,0
20:15:01,116,2,0
20:15:01,117,2,0
20:15:01,118,1,0
20:15:01,119,3,0
20:15:02,120,2,0
20:15:02,121,1,0
20:15:02,122,4,0
20:15:02,123,1,0
20:15:02,124,2,0
20:15:03,125,4,0
20:15:03,126,1,0
20:15:03,127,3,0
20:15:03,128,2,0
20:15:03,129,0,0
20:15:04,130,3,0
20:15:04,131,0,0
20:15:04,132,1,0
20:15:04,133,0,0
20:15:04,134,0,0
20:15:05,135,4,0
20:15:05,136,2,0
20:15:05,137,3,0
20:15:05,138,1,0
20:15:05,139,3,0
20:15:06,140,2,0
20:15:06,141,4,0
20:15:06,142,3,0
20:15:06,143,3,0
20:15:06,144,4,0
20:15:07,145,4,0
20:15:07,146,4,0
20:15:07,147,3,0
20:15:07,148,2,0
20:15:07,149,0,0
20:15:08,150,4,0
20:15:08,151,2,0
20:15:08,152,1,0
20:15:08,153,1,0
20:15:08,154,0,0
20:15:09,155,4,0
20:15:09,156,2,0
20:15:09,157,0,0
20:15:09,158,0,0
20:15:09,159,0,0
20:15:10,160,1,0
20:15:10,161,0,1
20:15:10,162,0,0
20:15:10,163,4,0
20:15:10,164,0,0
20:15:11,165,3,0
20:15:11,166,1,0
20:15:11,167,3,0
20:15:11,168,1,0
20:15:11,169,0,0
20:15:12,170,3,0
20:15:12,171,2,0
20:15:12,172,4,0
20:15:12,173,4,0
20:15:12,174,2,0
20:15:13,175,2,0
20:15:13,176,0,0
20:15:13,177,0,0
20:15:13,178,0,0
20:15:13,179,0,0
20:15:14,180,2,0
20:15:14,181,0,0
20:15:14,182,4,0
20:15:14,183,0,0
20:15:14,184,0,0
20:15:15,185,2,0
20:15:15,186,0,0
20:15:15,187,3,0
20:15:15,188,3,0
20:15:15,189,3,0
