System Clock,Logical Clock,Action,Messages Remaining
21:11:21,1,1,0
21:11:22,3,0,1
21:11:23,5,0,1
21:11:24,11,0,1
21:11:25,19,0,1
21:11:26,20,0,0
21:11:27,29,0,1
21:11:28,33,0,2
21:11:29,35,0,3
21:11:30,36,0,2
21:11:31,40,0,3
21:11:32,43,0,4
21:11:33,52,0,5
21:11:34,53,0,7
21:11:35,55,0,7
21:11:36,58,0,6
21:11:37,60,0,8
21:11:38,61,0,7
21:11:39,62,0,8
21:11:40,63,0,8
21:11:41,68,0,8
21:11:42,72,0,7
21:11:43,80,0,6
21:11:44,82,0,6
21:11:45,83,0,6
21:11:46,91,0,6
21:11:47,93,0,7
21:11:48,94,0,6
21:11:49,101,0,7
21:11:50,115,0,8
21:11:51,124,0,8
21:11:52,125,0,8
21:11:53,127,0,8
21:11:54,132,0,7
21:11:55,140,0,6
21:11:56,142,0,7
21:11:57,143,0,7
21:11:58,148,0,7
21:11:59,151,0,7
21:12:00,155,0,8
21:12:01,162,0,8
21:12:02,171,0,7
21:12:03,172,0,6
21:12:04,173,0,6
21:12:05,185,0,6
21:12:06,193,0,5
21:12:07,194,0,7
21:12:08,198,0,8
21:12:09,200,0,9
21:12:10,218,0,10
21:12:11,224,0,10
21:12:12,230,0,10
21:12:13,231,0,10
21:12:14,234,0,9
21:12:15,236,0,8
21:12:16,239,0,10
21:12:17,243,0,9
21:12:18,244,0,11
21:12:19,245,0,11
21:12:20,249,0,14
21:12:21,254,0,13
21:12:22,255,0,14
21:12:23,263,0,15
21:12:24,275,0,15
21:12:25,276,0,14
21:12:26,277,0,13
21:12:27,285,0,12
21:12:28,288,0,12
21:12:29,289,0,14
21:12:30,293,0,13
21:12:31,295,0,13
21:12:32,296,0,12
21:12:33,297,0,11
21:12:34,299,0,11
21:12:35,305,0,12
21:12:36,307,0,12
21:12:37,312,0,12
21:12:38,313,0,13
21:12:39,315,0,14
21:12:40,336,0,13
21:12:41,341,0,12
21:12:42,342,0,13
21:12:43,344,0,13
21:12:44,350,0,12
21:12:45,366,0,13
21:12:46,370,0,15
21:12:47,374,0,14
21:12:48,379,0,14
21:12:49,381,0,13
21:12:50,385,0,12
