System Clock,Logical Clock,Action,Messages Remaining
21:17:16,1,10,0
21:17:17,5,0,0
21:17:17,7,0,0
21:17:18,9,0,0
21:17:18,14,0,1
21:17:19,15,0,0
21:17:19,20,0,0
21:17:20,22,0,0
21:17:20,24,0,1
21:17:21,26,0,1
21:17:21,28,0,2
21:17:22,31,0,3
21:17:22,32,0,3
21:17:23,33,0,2
21:17:23,34,0,3
21:17:24,36,0,4
21:17:24,42,0,3
21:17:25,44,0,3
21:17:25,45,0,4
21:17:26,47,0,3
21:17:26,51,0,3
21:17:27,55,0,2
21:17:27,56,0,1
21:17:28,62,0,2
21:17:28,69,0,3
21:17:29,70,0,2
21:17:29,72,0,2
21:17:30,73,0,3
21:17:30,78,0,3
21:17:31,81,0,4
21:17:31,83,0,4
21:17:32,86,0,4
21:17:32,87,0,3
21:17:33,89,0,3
21:17:33,90,0,4
21:17:34,95,0,4
21:17:34,100,0,3
21:17:35,102,0,3
21:17:35,104,0,4
21:17:36,105,0,3
21:17:36,113,0,3
21:17:37,115,0,2
21:17:37,116,0,4
21:17:38,121,0,3
21:17:38,126,0,2
21:17:39,128,0,3
21:17:39,129,0,3
21:17:40,135,0,3
21:17:40,137,0,3
21:17:41,140,0,3
21:17:41,143,0,4
21:17:42,145,0,4
21:17:42,147,0,4
21:17:43,151,0,3
21:17:43,152,0,3
21:17:44,153,0,4
21:17:44,156,0,5
21:17:45,164,0,5
21:17:45,166,0,4
21:17:46,167,0,5
21:17:46,168,0,4
21:17:47,169,0,3
21:17:47,171,0,2
21:17:48,177,0,2
21:17:48,178,0,2
21:17:49,191,0,1
21:17:49,194,0,0
21:17:50,195,10,0
21:17:50,196,6,0
21:17:51,197,6,0
21:17:51,210,0,1
21:17:52,211,0,0
21:17:52,212,2,0
21:17:53,219,0,0
21:17:53,224,0,0
21:17:54,227,0,0
21:17:54,230,0,0
21:17:55,231,0,2
21:17:55,232,0,2
21:17:56,233,0,3
21:17:56,235,0,4
21:17:57,238,0,4
21:17:57,239,0,3
21:17:58,241,0,3
21:17:58,242,0,2
21:17:59,244,0,1
21:17:59,249,0,0
21:18:00,262,0,1
21:18:00,263,0,1
21:18:01,264,0,1
21:18:01,268,0,1
21:18:02,270,0,1
21:18:02,273,0,2
21:18:03,276,0,1
21:18:03,277,0,1
21:18:04,283,0,1
21:18:04,286,0,2
21:18:05,289,0,1
21:18:05,290,0,0
21:18:06,291,4,0
21:18:06,300,0,0
21:18:07,304,0,0
21:18:07,305,7,0
21:18:08,311,0,0
21:18:08,312,9,0
21:18:09,313,6,0
21:18:09,320,0,0
21:18:10,323,0,0
21:18:10,324,0,0
21:18:11,328,0,0
21:18:11,330,0,1
21:18:12,332,0,1
21:18:12,333,0,1
21:18:13,336,0,3
21:18:13,339,0,4
21:18:14,340,0,3
21:18:14,341,0,2
21:18:15,342,0,3
21:18:15,344,0,4
21:18:16,352,0,5
21:18:16,353,0,4
21:18:17,354,0,4
21:18:17,355,0,3
21:18:18,357,0,2
21:18:18,358,0,2
21:18:19,365,0,1
21:18:19,373,0,1
21:18:20,380,0,1
21:18:20,383,0,2
21:18:21,385,0,1
21:18:21,386,0,0
21:18:22,387,3,0
21:18:22,388,4,0
21:18:23,399,0,0
21:18:23,402,0,0
21:18:24,406,0,1
21:18:24,407,0,0
21:18:25,408,10,0
21:18:25,414,0,1
21:18:26,416,0,1
21:18:26,418,0,3
21:18:27,420,0,4
21:18:27,421,0,4
21:18:28,422,0,3
21:18:28,423,0,3
21:18:29,424,0,2
21:18:29,428,0,2
21:18:30,432,0,3
21:18:30,438,0,3
21:18:31,441,0,2
21:18:31,443,0,1
21:18:32,445,0,1
21:18:32,455,0,1
21:18:33,458,0,1
21:18:33,461,0,1
21:18:34,462,0,0
21:18:34,468,0,0
21:18:35,471,0,0
21:18:35,474,0,1
21:18:36,476,0,2
21:18:36,477,0,2
21:18:37,479,0,2
21:18:37,480,0,1
21:18:38,483,0,2
21:18:38,491,0,3
21:18:39,492,0,3
21:18:39,493,0,2
21:18:40,494,0,2
21:18:40,495,0,1
21:18:41,501,0,3
21:18:41,507,0,4
21:18:42,508,0,4
21:18:42,509,0,3
21:18:43,510,0,3
21:18:43,512,0,2
21:18:44,515,0,1
21:18:44,520,0,1
21:18:45,529,0,1
21:18:45,533,0,0
21:18:46,538,0,2
