System Clock,Logical Clock,Action,Messages Remaining
21:07:07,1,2,0
21:07:07,2,5,0
21:07:07,3,2,0
21:07:08,4,0,0
21:07:08,5,8,0
21:07:08,6,0,0
21:07:09,7,3,0
21:07:09,8,10,0
21:07:09,9,3,0
21:07:10,10,0,0
21:07:10,11,9,0
21:07:10,12,9,0
21:07:11,13,1,0
21:07:11,14,1,0
21:07:11,15,5,0
21:07:12,16,7,0
21:07:12,17,5,0
21:07:12,18,2,0
21:07:13,19,0,1
21:07:13,20,0,0
21:07:13,21,10,0
21:07:14,22,4,0
21:07:14,23,0,0
21:07:14,24,9,0
21:07:15,25,0,0
21:07:15,26,0,0
21:07:15,27,9,0
21:07:16,28,0,0
21:07:16,29,0,0
21:07:16,30,6,0
21:07:17,31,0,0
21:07:17,32,5,0
21:07:17,33,9,0
21:07:18,34,0,1
21:07:18,35,0,0
21:07:18,36,7,0
21:07:19,37,9,0
21:07:19,38,0,0
21:07:19,39,2,0
21:07:20,40,8,0
21:07:20,41,4,0
21:07:20,42,6,0
21:07:21,43,8,0
21:07:21,44,0,0
21:07:21,45,5,0
21:07:22,46,0,0
21:07:22,47,10,0
21:07:22,48,1,0
21:07:23,49,2,0
21:07:23,50,9,0
21:07:23,51,5,0
21:07:24,52,8,0
21:07:24,53,2,0
21:07:24,54,9,0
21:07:25,55,2,0
21:07:25,56,1,0
21:07:25,57,0,0
21:07:26,58,9,0
21:07:26,59,1,0
21:07:26,60,4,0
21:07:27,61,7,0
21:07:27,62,0,0
21:07:27,63,4,0
21:07:28,64,7,0
21:07:28,65,0,0
21:07:28,66,1,0
21:07:29,67,3,0
21:07:29,68,5,0
21:07:29,69,9,0
21:07:30,70,0,0
21:07:30,71,8,0
21:07:30,72,3,0
21:07:31,73,0,0
21:07:31,74,1,0
21:07:31,75,0,0
21:07:32,76,3,0
21:07:32,77,6,0
21:07:32,78,4,0
21:07:33,79,9,0
21:07:33,80,0,0
21:07:33,81,1,0
21:07:34,82,9,0
21:07:34,83,5,0
21:07:34,84,8,0
21:07:35,85,7,0
21:07:35,86,0,0
21:07:35,87,0,0
21:07:36,88,9,0
21:07:36,89,0,0
21:07:36,90,0,0
21:07:37,91,9,0
21:07:37,92,0,0
21:07:37,93,1,0
21:07:38,94,0,0
21:07:38,95,5,0
21:07:38,96,5,0
21:07:39,97,0,0
21:07:39,98,9,0
21:07:39,99,1,0
21:07:40,100,2,0
21:07:40,101,3,0
21:07:40,102,8,0
21:07:41,103,3,0
21:07:41,104,9,0
21:07:41,105,3,0
21:07:42,106,1,0
21:07:42,107,10,0
21:07:42,108,4,0
21:07:43,109,7,0
21:07:43,110,0,0
21:07:43,111,10,0
21:07:44,112,1,0
21:07:44,113,0,0
21:07:44,114,2,0
21:07:45,115,7,0
21:07:45,116,0,0
21:07:45,117,6,0
21:07:46,118,7,0
21:07:46,119,0,1
21:07:46,120,0,0
21:07:47,121,0,0
21:07:47,122,3,0
21:07:47,123,5,0
21:07:48,124,3,0
21:07:48,125,1,0
21:07:48,126,7,0
21:07:49,127,2,0
21:07:49,128,4,0
21:07:49,129,6,0
21:07:50,130,0,0
21:07:50,131,7,0
21:07:50,132,0,0
21:07:51,133,0,0
21:07:51,134,9,0
21:07:51,135,4,0
21:07:52,136,5,0
21:07:52,137,0,0
21:07:52,138,1,0
21:07:53,139,4,0
21:07:53,140,4,0
21:07:53,141,3,0
21:07:54,142,4,0
21:07:54,143,10,0
21:07:54,144,1,0
21:07:55,145,6,0
21:07:55,146,9,0
21:07:55,147,8,0
21:07:56,148,2,0
21:07:56,149,0,0
21:07:56,150,9,0
21:07:57,151,0,0
21:07:57,152,9,0
21:07:57,153,8,0
21:07:58,154,9,0
21:07:58,155,9,0
21:07:58,156,5,0
21:07:59,157,2,0
21:07:59,158,3,0
21:07:59,159,3,0
21:08:00,160,5,0
21:08:00,161,8,0
21:08:00,162,0,0
21:08:01,163,7,0
21:08:01,164,1,0
21:08:01,165,4,0
21:08:02,166,2,0
21:08:02,167,10,0
21:08:02,168,3,0
21:08:03,169,0,0
21:08:03,170,4,0
21:08:03,171,8,0
21:08:04,172,5,0
21:08:04,173,4,0
21:08:04,174,9,0
21:08:05,175,0,0
21:08:05,176,7,0
21:08:05,177,0,0
21:08:06,178,9,0
21:08:06,179,0,0
21:08:06,180,8,0
21:08:07,181,10,0
21:08:07,182,1,0
21:08:07,183,3,0
21:08:08,184,0,0
21:08:08,185,7,0
21:08:08,186,4,0
21:08:09,187,8,0
21:08:09,188,3,0
21:08:09,189,0,0
21:08:10,190,2,0
21:08:10,191,3,0
21:08:10,192,0,0
21:08:11,193,2,0
21:08:11,194,6,0
21:08:11,195,8,0
21:08:12,196,0,0
21:08:12,197,6,0
21:08:12,198,6,0
21:08:13,199,0,0
21:08:13,200,3,0
21:08:13,201,9,0
21:08:14,202,2,0
21:08:14,203,7,0
21:08:14,204,5,0
21:08:15,205,1,0
21:08:15,206,5,0
21:08:15,207,6,0
21:08:16,208,10,0
21:08:16,209,3,0
21:08:16,210,2,0
21:08:17,211,5,0
21:08:17,212,10,0
21:08:17,213,1,0
21:08:18,214,0,0
21:08:18,215,2,0
21:08:18,216,10,0
21:08:19,217,5,0
21:08:19,218,2,0
21:08:19,219,0,0
21:08:20,220,0,0
21:08:20,221,7,0
21:08:20,222,10,0
21:08:21,223,4,0
21:08:21,224,2,0
21:08:21,225,4,0
21:08:22,226,0,0
21:08:22,227,5,0
21:08:22,228,8,0
21:08:23,229,9,0
21:08:23,230,0,0
21:08:23,231,7,0
21:08:24,232,0,0
21:08:24,233,10,0
21:08:24,234,7,0
21:08:25,235,10,0
21:08:25,236,0,0
21:08:25,237,0,0
21:08:26,238,3,0
21:08:26,239,3,0
21:08:26,240,9,0
21:08:27,241,4,0
21:08:27,242,0,0
21:08:27,243,5,0
21:08:28,244,7,0
21:08:28,245,5,0
21:08:28,246,5,0
21:08:29,247,7,0
21:08:29,248,5,0
21:08:29,249,7,0
21:08:30,250,10,0
21:08:30,251,0,0
21:08:30,252,5,0
21:08:31,253,6,0
21:08:31,254,0,0
21:08:31,255,0,0
21:08:32,256,0,0
21:08:32,257,9,0
21:08:32,258,0,0
21:08:33,259,0,0
21:08:33,260,0,0
21:08:33,261,9,0
21:08:34,262,3,0
21:08:34,263,9,0
21:08:34,264,9,0
21:08:35,265,2,0
21:08:35,266,2,0
