System Clock,Logical Clock,Action,Messages Remaining
21:07:07,1,0,1
21:07:07,2,0,0
21:07:08,3,0,0
21:07:08,5,0,0
21:07:09,7,0,0
21:07:09,8,8,0
21:07:10,9,0,0
21:07:10,11,0,0
21:07:11,12,4,0
21:07:11,13,6,0
21:07:12,14,6,0
21:07:12,15,3,0
21:07:13,18,0,0
21:07:13,19,4,0
21:07:14,20,3,0
21:07:14,21,3,0
21:07:15,22,1,0
21:07:15,26,0,0
21:07:16,27,9,0
21:07:16,29,0,0
21:07:17,30,0,0
21:07:17,31,3,0
21:07:18,33,0,0
21:07:18,34,10,0
21:07:19,35,10,0
21:07:19,36,10,0
21:07:20,39,0,0
21:07:20,41,0,0
21:07:21,43,0,0
21:07:21,44,1,0
21:07:22,45,8,0
21:07:22,46,2,0
21:07:23,49,0,0
21:07:23,50,2,0
21:07:24,51,7,0
21:07:24,53,0,0
21:07:25,55,0,1
21:07:25,56,0,0
21:07:26,57,4,0
21:07:26,58,2,0
21:07:27,59,1,0
21:07:27,60,7,0
21:07:28,64,0,0
21:07:28,65,5,0
21:07:29,67,0,0
21:07:29,68,3,0
21:07:30,69,5,0
21:07:30,70,6,0
21:07:31,72,0,1
21:07:31,73,0,1
21:07:32,74,0,1
21:07:32,76,0,0
21:07:33,78,0,1
21:07:33,79,0,1
21:07:34,80,0,0
21:07:34,81,7,0
21:07:35,82,3,0
21:07:35,83,1,0
21:07:36,84,8,0
21:07:36,89,0,0
21:07:37,91,0,0
21:07:37,92,3,0
21:07:38,93,5,0
21:07:38,94,3,0
21:07:39,96,0,0
21:07:39,97,5,0
21:07:40,100,0,0
21:07:40,101,0,1
21:07:41,102,0,2
21:07:41,103,0,1
21:07:42,104,0,1
21:07:42,105,0,0
21:07:43,106,3,0
21:07:43,107,10,0
21:07:44,108,1,0
21:07:44,109,10,0
21:07:45,114,0,0
21:07:45,115,6,0
21:07:46,116,1,0
21:07:46,117,5,0
21:07:47,120,0,1
21:07:47,121,0,1
21:07:48,122,0,2
21:07:48,124,0,1
21:07:49,125,0,1
21:07:49,127,0,0
21:07:50,129,0,1
21:07:50,130,0,1
21:07:51,131,0,0
21:07:51,132,10,0
21:07:52,136,0,0
21:07:52,137,8,0
21:07:53,138,10,0
21:07:53,139,9,0
21:07:54,141,0,0
21:07:54,142,7,0
21:07:55,143,5,0
21:07:55,144,4,0
21:07:56,148,0,0
21:07:56,149,0,0
21:07:57,150,0,0
21:07:57,151,7,0
21:07:58,152,2,0
21:07:58,153,5,0
21:07:59,157,0,0
21:07:59,158,0,0
21:08:00,159,0,0
21:08:00,160,10,0
21:08:01,163,0,0
21:08:01,164,5,0
21:08:02,166,0,0
21:08:02,167,2,0
21:08:03,168,0,1
21:08:03,169,0,0
21:08:04,170,2,0
21:08:04,171,1,0
21:08:05,174,0,0
21:08:05,175,10,0
21:08:06,176,3,0
21:08:06,177,10,0
21:08:07,178,4,0
21:08:07,179,3,0
21:08:08,183,0,0
21:08:08,184,4,0
21:08:09,185,5,0
21:08:09,188,0,0
21:08:10,190,0,0
21:08:10,191,0,1
21:08:11,192,0,1
21:08:11,193,0,1
21:08:12,194,0,1
21:08:12,195,0,1
21:08:13,197,0,1
21:08:13,198,0,1
21:08:14,200,0,1
21:08:14,202,0,0
21:08:15,204,0,0
21:08:15,205,8,0
21:08:16,206,2,0
21:08:16,209,0,0
21:08:17,210,0,0
21:08:17,211,3,0
21:08:18,212,9,0
21:08:18,215,0,0
21:08:19,216,0,0
21:08:19,218,0,1
21:08:20,219,0,1
21:08:20,220,0,0
21:08:21,222,0,0
21:08:21,224,0,0
21:08:22,225,9,0
21:08:22,226,10,0
21:08:23,227,1,0
21:08:23,228,7,0
21:08:24,231,0,1
21:08:24,232,0,0
21:08:25,233,7,0
21:08:25,234,10,0
21:08:26,238,0,0
21:08:26,239,0,0
21:08:27,240,7,0
21:08:27,241,4,0
21:08:28,243,0,0
21:08:28,244,2,0
21:08:29,245,10,0
21:08:29,246,5,0
21:08:30,250,0,0
21:08:30,251,10,0
21:08:31,252,8,0
21:08:31,253,1,0
21:08:32,254,6,0
21:08:32,257,0,0
21:08:33,258,0,1
21:08:33,259,0,0
21:08:34,262,0,0
21:08:34,263,4,0
21:08:35,264,0,1
21:08:35,265,0,1
21:08:36,266,0,1
21:08:36,267,0,0
21:08:37,269,0,1
